num,bottom_left,top_right,type
water_1,"44,16","116,36",WATER
water_2,"44,144","116,164",WATER
water_3,"18,54","38,126",WATER
water_4,"122,54","142,126",WATER
eengezinswoning_1,"67, 92","75, 84",EENGEZINSWONING
bungalow_1,"83, 43","94, 36",BUNGALOW
eengezinswoning_2,"97, 113","105, 105",EENGEZINSWONING
eengezinswoning_3,"128, 178","136, 170",EENGEZINSWONING
eengezinswoning_4,"98, 127","106, 119",EENGEZINSWONING
eengezinswoning_5,"93, 84","101, 76",EENGEZINSWONING
bungalow_2,"47, 106","58, 99",BUNGALOW
eengezinswoning_6,"54, 125","62, 117",EENGEZINSWONING
eengezinswoning_7,"95, 99","103, 91",EENGEZINSWONING
bungalow_3,"111, 72","122, 65",BUNGALOW
eengezinswoning_8,"83, 110","91, 102",EENGEZINSWONING
bungalow_4,"44, 144","55, 137",BUNGALOW
eengezinswoning_9,"114, 113","122, 105",EENGEZINSWONING
bungalow_5,"146, 177","157, 170",BUNGALOW
bungalow_6,"106, 51","117, 44",BUNGALOW
eengezinswoning_10,"150, 160","158, 152",EENGEZINSWONING
eengezinswoning_11,"78, 81","86, 73",EENGEZINSWONING
bungalow_7,"88, 63","99, 56",BUNGALOW
eengezinswoning_12,"69, 106","77, 98",EENGEZINSWONING
eengezinswoning_13,"81, 95","89, 87",EENGEZINSWONING
eengezinswoning_14,"33, 178","41, 170",EENGEZINSWONING
eengezinswoning_15,"84, 126","92, 118",EENGEZINSWONING
maison_11,"61, 16","73, 6",MAISON
eengezinswoning_16,"38, 86","46, 78",EENGEZINSWONING
eengezinswoning_17,"112, 130","120, 122",EENGEZINSWONING
eengezinswoning_18,"114, 94","122, 86",EENGEZINSWONING
maison_12,"6, 65","18, 55",MAISON
eengezinswoning_19,"12, 178","20, 170",EENGEZINSWONING
eengezinswoning_20,"53, 88","61, 80",EENGEZINSWONING
bungalow_8,"64, 56","75, 49",BUNGALOW
eengezinswoning_21,"150, 64","158, 56",EENGEZINSWONING
bungalow_9,"90, 144","101, 137",BUNGALOW
maison_13,"142, 16","154, 6",MAISON
bungalow_10,"103, 177","114, 170",BUNGALOW
maison_14,"66, 174","78, 164",MAISON
maison_15,"102, 16","114, 6",MAISON
eengezinswoning_22,"34, 162","42, 154",EENGEZINSWONING
bungalow_11,"67, 139","78, 132",BUNGALOW
eengezinswoning_23,"2, 178","10, 170",EENGEZINSWONING
eengezinswoning_24,"70, 120","78, 112",EENGEZINSWONING
eengezinswoning_25,"126, 134","134, 126",EENGEZINSWONING
eengezinswoning_26,"22, 176","30, 168",EENGEZINSWONING
eengezinswoning_27,"124, 42","132, 34",EENGEZINSWONING
eengezinswoning_28,"117, 159","125, 151",EENGEZINSWONING
eengezinswoning_29,"138, 52","146, 44",EENGEZINSWONING
maison_16,"6, 144","18, 134",MAISON
maison_17,"32, 39","44, 29",MAISON
eengezinswoning_30,"38, 124","46, 116",EENGEZINSWONING
eengezinswoning_31,"132, 163","140, 155",EENGEZINSWONING
bungalow_12,"3, 10","14, 3",BUNGALOW
eengezinswoning_32,"49, 72","57, 64",EENGEZINSWONING
eengezinswoning_33,"64, 77","72, 69",EENGEZINSWONING
maison_18,"142, 114","154, 104",MAISON
maison_19,"6, 105","18, 95",MAISON
eengezinswoning_34,"150, 142","158, 134",EENGEZINSWONING
eengezinswoning_35,"126, 54","134, 46",EENGEZINSWONING
bungalow_13,"111, 144","122, 137",BUNGALOW
eengezinswoning_36,"150, 52","158, 44",EENGEZINSWONING
bungalow_14,"143, 84","154, 77",BUNGALOW
bungalow_15,"129, 148","140, 141",BUNGALOW
