num,bottom_left,top_right,type
water_1,"0,0","32,180",WATER
eengezinswoning_1,"70, 149","78, 141",EENGEZINSWONING
eengezinswoning_2,"92, 178","100, 170",EENGEZINSWONING
maison_11,"67, 100","79, 90",MAISON
eengezinswoning_3,"114, 142","122, 134",EENGEZINSWONING
eengezinswoning_4,"110, 23","118, 15",EENGEZINSWONING
eengezinswoning_5,"85, 159","93, 151",EENGEZINSWONING
eengezinswoning_6,"98, 143","106, 135",EENGEZINSWONING
eengezinswoning_7,"150, 31","158, 23",EENGEZINSWONING
eengezinswoning_8,"88, 127","96, 119",EENGEZINSWONING
eengezinswoning_9,"71, 162","79, 154",EENGEZINSWONING
bungalow_1,"33, 138","44, 131",BUNGALOW
eengezinswoning_10,"57, 149","65, 141",EENGEZINSWONING
eengezinswoning_11,"47, 124","55, 116",EENGEZINSWONING
eengezinswoning_12,"32, 156","40, 148",EENGEZINSWONING
bungalow_2,"32, 10","43, 3",BUNGALOW
eengezinswoning_13,"58, 162","66, 154",EENGEZINSWONING
maison_12,"111, 102","123, 92",MAISON
eengezinswoning_14,"130, 32","138, 24",EENGEZINSWONING
bungalow_3,"58, 24","69, 17",BUNGALOW
eengezinswoning_15,"58, 136","66, 128",EENGEZINSWONING
eengezinswoning_16,"127, 10","135, 2",EENGEZINSWONING
eengezinswoning_17,"45, 158","53, 150",EENGEZINSWONING
eengezinswoning_18,"99, 157","107, 149",EENGEZINSWONING
bungalow_4,"32, 177","43, 170",BUNGALOW
bungalow_5,"146, 122","157, 115",BUNGALOW
eengezinswoning_19,"32, 121","40, 113",EENGEZINSWONING
bungalow_6,"32, 41","43, 34",BUNGALOW
bungalow_7,"110, 52","121, 45",BUNGALOW
eengezinswoning_20,"84, 145","92, 137",EENGEZINSWONING
maison_13,"32, 82","44, 72",MAISON
maison_14,"60, 57","72, 47",MAISON
bungalow_8,"84, 10","95, 3",BUNGALOW
eengezinswoning_21,"149, 10","157, 2",EENGEZINSWONING
bungalow_9,"88, 71","99, 64",BUNGALOW
eengezinswoning_22,"57, 178","65, 170",EENGEZINSWONING
bungalow_10,"85, 37","96, 30",BUNGALOW
eengezinswoning_23,"73, 178","81, 170",EENGEZINSWONING
maison_15,"142, 174","154, 164",MAISON
maison_16,"142, 76","154, 66",MAISON
eengezinswoning_24,"71, 136","79, 128",EENGEZINSWONING
