num,bottom_left,top_right,type
water_1,"0,135","32,180",WATER
water_2,"0,0","32,45",WATER
water_3,"128,135","160,180",WATER
water_4,"128,0","160,45",WATER
bungalow_1,"66, 44","77, 37",BUNGALOW
eengezinswoning_1,"138, 85","146, 77",EENGEZINSWONING
eengezinswoning_2,"99, 101","107, 93",EENGEZINSWONING
bungalow_2,"3, 52","14, 45",BUNGALOW
maison_11,"111, 57","123, 47",MAISON
eengezinswoning_3,"25, 103","33, 95",EENGEZINSWONING
maison_12,"61, 146","73, 136",MAISON
maison_13,"116, 16","128, 6",MAISON
eengezinswoning_4,"82, 121","90, 113",EENGEZINSWONING
eengezinswoning_5,"68, 97","76, 89",EENGEZINSWONING
maison_14,"142, 135","154, 125",MAISON
maison_15,"116, 174","128, 164",MAISON
eengezinswoning_6,"126, 99","134, 91",EENGEZINSWONING
bungalow_3,"66, 10","77, 3",BUNGALOW
maison_16,"79, 174","91, 164",MAISON
eengezinswoning_7,"150, 94","158, 86",EENGEZINSWONING
eengezinswoning_8,"111, 87","119, 79",EENGEZINSWONING
eengezinswoning_9,"138, 97","146, 89",EENGEZINSWONING
eengezinswoning_10,"69, 83","77, 75",EENGEZINSWONING
eengezinswoning_11,"99, 115","107, 107",EENGEZINSWONING
bungalow_4,"34, 86","45, 79",BUNGALOW
eengezinswoning_12,"97, 146","105, 138",EENGEZINSWONING
bungalow_5,"3, 135","14, 128",BUNGALOW
eengezinswoning_13,"126, 87","134, 79",EENGEZINSWONING
maison_17,"142, 55","154, 45",MAISON
eengezinswoning_14,"128, 113","136, 105",EENGEZINSWONING
bungalow_6,"85, 59","96, 52",BUNGALOW
eengezinswoning_15,"38, 115","46, 107",EENGEZINSWONING
eengezinswoning_16,"2, 91","10, 83",EENGEZINSWONING
bungalow_7,"96, 130","107, 123",BUNGALOW
bungalow_8,"32, 10","43, 3",BUNGALOW
eengezinswoning_17,"66, 112","74, 104",EENGEZINSWONING
eengezinswoning_18,"2, 75","10, 67",EENGEZINSWONING
eengezinswoning_19,"80, 27","88, 19",EENGEZINSWONING
eengezinswoning_20,"150, 107","158, 99",EENGEZINSWONING
eengezinswoning_21,"113, 108","121, 100",EENGEZINSWONING
eengezinswoning_22,"36, 129","44, 121",EENGEZINSWONING
eengezinswoning_23,"96, 88","104, 80",EENGEZINSWONING
eengezinswoning_24,"54, 101","62, 93",EENGEZINSWONING
eengezinswoning_25,"41, 102","49, 94",EENGEZINSWONING
eengezinswoning_26,"127, 75","135, 67",EENGEZINSWONING
bungalow_9,"113, 139","124, 132",BUNGALOW
eengezinswoning_27,"21, 68","29, 60",EENGEZINSWONING
bungalow_10,"81, 106","92, 99",BUNGALOW
maison_18,"32, 174","44, 164",MAISON
eengezinswoning_28,"24, 119","32, 111",EENGEZINSWONING
eengezinswoning_29,"51, 114","59, 106",EENGEZINSWONING
maison_19,"33, 43","45, 33",MAISON
bungalow_11,"59, 26","70, 19",BUNGALOW
eengezinswoning_30,"18, 87","26, 79",EENGEZINSWONING
eengezinswoning_31,"82, 92","90, 84",EENGEZINSWONING
bungalow_12,"62, 63","73, 56",BUNGALOW
eengezinswoning_32,"53, 85","61, 77",EENGEZINSWONING
eengezinswoning_33,"99, 75","107, 67",EENGEZINSWONING
eengezinswoning_34,"115, 124","123, 116",EENGEZINSWONING
bungalow_13,"3, 109","14, 102",BUNGALOW
bungalow_14,"92, 41","103, 34",BUNGALOW
eengezinswoning_35,"84, 78","92, 70",EENGEZINSWONING
bungalow_15,"40, 71","51, 64",BUNGALOW
eengezinswoning_36,"150, 82","158, 74",EENGEZINSWONING
